Date,Tank,Acetone,FiltWater,Chl,Phaeo
2016-06-03,1,10,120,0.39,0.11
2016-06-03,2,10,120,1.83,0.19
2016-06-03,3,10,120,0.24,1.71
2016-06-03,4,10,120,6.58,1.11
2016-06-03,5,10,120,3.3,1.52
2016-06-03,6,10,120,5.81,2.89
2016-06-03,7,10,120,1.2,1.13
2016-06-03,8,10,120,1.63,0.85
2016-06-03,9,10,120,8.59,3.32
2016-06-03,10,10,120,6.35,10.58
2016-06-03,11,10,120,4.04,2.78
2016-06-03,12,10,120,6.23,2.37
2016-06-03,13,10,70,2.34,13.57
2016-06-03,14,10,120,2.47,1.52
2016-06-03,15,10,120,-7.89,17.39
2016-06-03,16,10,120,14.93,-5.75
2016-06-03,17,10,120,2.8,0.83
2016-06-03,18,10,120,6.54,0.55
2016-06-03,19,10,120,10.16,1.8
2016-06-03,20,10,120,6.16,-0.26
2016-06-03,21,10,120,14.86,4.28
2016-06-03,22,10,120,8.58,6.44
2016-06-03,23,10,120,7.32,1.56
2016-06-03,24,10,120,2.89,2.06
2016-06-03,25,10,120,1.82,1.05
2016-06-03,26,10,120,2.44,1.57
2016-06-03,27,10,120,1.73,1.84
2016-06-03,28,10,120,3.43,0.6
2016-06-03,29,10,120,2.88,1.15
2016-06-03,30,10,120,1.1,0.34
